text_id,text_uri,title_ar,title_lat,author_id,ed_info,collection,tok_length,page_count,volumes,tags
JK009172,0281IbnAbiDunya.SifatNar.JK009172-ara1.mARkdown,صفة النار,ṣiffŧ al-nār,0281IbnAbiDunya,http://www.worldcat.org/oclc/37412777 :: محمد خير رمضان يوسف :: لبنان / بيروت :: 1417هـ - 1997م :: دار ابن حزم,al-Jāmiʿ al-Kabīr,14016,150,1,_HADITH :: _CAQAID :: _IBNABIDUNYA :: _MILAL
JK001127,0281IbnAbiDunya.Tahajjud.JK001127-ara1.mARkdown,كتاب التحجد وقيام الليل :: التحجد,kitāb al-taḥaǧǧud wa-qiyām al-layl,0281IbnAbiDunya,http://www.worldcat.org/oclc/4771216788 :: مصلح بن جزاء بن فدغوش الحارثي :: السعودية - الرياض :: 1418هـ - 1998م :: مكتبة الرشد,al-Jāmiʿ al-Kabīr,27499,418,1,ShamAY@كتب ابن أبي الدنيا :: JK@كتب ابن أبي الدنيا :: JK@كتب الأخلاق والسلوك :: JK@مجموعة ابن أبي الدنيا :: born@Iraq_RE :: born@BAGHDAD_443E333N_S :: RANDOM_CHARS :: PRIMARY_VERSION :: CLEANED_VERSION :: MARKDOWN
JK000002,0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1.mARkdown,كتاب التواضع والخموم,kitāb al-tawāḍuʿ wa-l-ḫumūm,0281IbnAbiDunya,http://www.worldcat.org/oclc/4769944131 :: محمد عبد القادر أحمد عطا :: بيروت :: 1409 - 1989 :: دار الكتب العلمية,al-Jāmiʿ al-Kabīr,11311,283,1,_HADITH
Shamela0008254,0281IbnAbiDunya.Tawakkul.Shamela0008254-ara1.mARkdown,التواكل على الله,al-tawākul ʿalá allāh,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770526485 :: مصطفى عبد القادر عطا :: مؤسسة الكتب الثقافية، بيروت - لبنان,al-Maktaba al-Shāmila,3710,63,1,_IBNABIDUNYA
Shamela0008253,0281IbnAbiDunya.Tawba.Shamela0008253-ara1.mARkdown,كتاب التوبة,Kitāb al-tawbaŧ,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770457051 :: مجدي السيد إبراهيم. :: مكتبة القرآن، مصر,al-Maktaba al-Shāmila,10493,346,1,_AKHLAQ :: _IBNABIDUNYA
JK000070,0281IbnAbiDunya.Wajal.JK000070-ara1.mARkdown,الوجل والتوثق بالعمل,al-Waǧal wa-l-tawaṯṯuq bi-ål-ʿamal,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770187772 :: مشهور حسن آل سلمان :: الرياض :: 1418 - 1997 :: دار الوطن,al-Jāmiʿ al-Kabīr,4811,34,1,_AKHLAQ :: _IBNABIDUNYA
JK000019,0281IbnAbiDunya.Warac.JK000019-ara1.completed,الورع لابن أبي الدنيا :: الورع,Warac,0281IbnAbiDunya,http://www.worldcat.org/oclc/4771086652 :: أبي عبد الله محمد بن حمد الحمود :: الكويت :: 1408 - 1988 :: الدار السلفية,al-Jāmiʿ al-Kabīr,11248,90,1,_HADITH
Shamela0008220,0281IbnAbiDunya.Yaqin.Shamela0008220-ara1.completed,اليكين,al-yakīn,0281IbnAbiDunya,http://www.worldcat.org/oclc/63532226 :: ياسين محمد السورس :: دار البشائر الإسلامية,al-Maktaba al-Shāmila,2624,43,1,_AKHLAQ :: _IBNABIDUNYA
Shamela0008216,0281IbnAbiDunya.Zuhd.Shamela0008216-ara1,الزهد لابن أبي الدنيا,Zuhd,0281IbnAbiDunya,دار ابن كثير، دمشق,al-Maktaba al-Shāmila,36959,564,1,_AKHLAQ :: _IBNABIDUNYA
Shamela0026740,0281IbnDizilHamdani.Juz.Shamela0026740-ara1,الجزء فيه حديث الحافظ ابن ديزيل,Juz,0281IbnDizilHamdani,عبد الله بن محمد عبد الرحيم البخاري :: مكتبة الغرباء الأثرية - المدينة النبوية,al-Maktaba al-Shāmila,7379,28,1,_HADITH :: _AJZA
Shia003075,0282AbuHanifaDinawari.AkhbarTiwal.Shia003075-ara1.completed,الأخبار الطوال,Akhbar Tiwal,0282AbuHanifaDinawari,http://www.worldcat.org/oclc/4771219390 :: تحقيق : عبد المنعم عامر / مراجعة : الدكتور جمال الدين الشيال :: 1960,al-Shāmila al-Shīʿiyya,88963,407,1,_HADITH :: _TARIKH :: _TARAJIM :: _SUNNI
JK000483,0282IbnAbiUsamaTamimi.BughyaBahith.JK000483-ara1,مسند الحارث (زوائدالهيثمي) :: بغية الباحث عن زوائد مسند الحارث,Bughya Bahith,0282IbnAbiUsamaTamimi,د. حسين أحمد صالح الباكري :: المدينة المنورة :: 1413 - 1992 :: مركز خدمة السنة والسيرة النبوية,al-Jāmiʿ al-Kabīr,87542,869,2,_HADITH :: _MACAJIM :: _TARAJIM :: _SUNNI :: _MASANID
Shamela0009808,0282IbnAbiUsamaTamimi.Cawali.Shamela0009808-ara1,عوالي الحارث بن أبي أسامة,Cawali,0282IbnAbiUsamaTamimi,أبو عبد الله عبد العزيز بن عبد الله الهليل,al-Maktaba al-Shāmila,3335,69,1,_HADITH :: _AJZA
Shamela0026592,0282IbnHarbCaskari.MusnadAbiHurayra.Shamela0026592-ara1,الجزء الثاني من مسند أبي هريرة رضي الله عنه,Musnad Abi Hurayra,0282IbnHarbCaskari,عامر حسن صبري :: دار البشائر الإسلامية [ضمن سلسلة الأجزاء والكتب الحديثية 38],al-Maktaba al-Shāmila,4609,100,1,_HADITH :: _AJZA
Shamela0006206,0282IbnIshaqJahdami.AhkamQuran.Shamela0006206-ara1,أحكام القرآن,Ahkam Quran,0282IbnIshaqJahdami,عامر حسن صبري :: دار ابن حزم - بيروت,al-Maktaba al-Shāmila,22669,180,1,_CULUM :: _QURAN
JK000692,0282IbnIshaqJahdami.FadlSalat.JK000692-ara1,فضل الصلاة على النبي صلى الله عليه وسلم :: فضل الصلاة على النبي,Fadl Salat,0282IbnIshaqJahdami,محمد ناصر الدين الألباني :: بيروت :: 1397 :: المكتب الإسلامي,al-Jāmiʿ al-Kabīr,6087,70,1,_HADITH :: _USUL :: _AKHLAQ :: _AJZA :: _ALBANI :: _MASAIL :: _FIQH :: _SUNNI
JK001235,0282IbnIshaqJahdami.JuzFihiHadith.JK001235-ara1,جزء فيه من أحاديث الإمام أيوب السختياني,Juz Fihi Hadith,0282IbnIshaqJahdami,د سليمان بن عبد العزيز العريني :: الرياض - السعودية :: 1418هـ - 1998م :: شركة الرياض,al-Jāmiʿ al-Kabīr,3949,65,1,_HADITH :: _AJZA :: _TARAJIM
Shamela0026440,0282IbnIshaqJahdami.JuzMinHadithMalik.Shamela0026440-ara1,الجزء الخامس من مسند حديث مالك بن أنس,Juz Min Hadith Malik,0282IbnIshaqJahdami,ميكلوش موراني - جامعة بون / المانيا :: دار الغرب الإسلامي,al-Maktaba al-Shāmila,9562,140,1,_HADITH :: _AJZA
Shia001270Vols,0283AbuIshaqThaqafi.Gharat.Shia001270Vols-ara1,الغارات,Gharat,0283AbuIshaqThaqafi,السيد جلال الدين الحسيني الأرموي المحدث,al-Shāmila al-Shīʿiyya,163667,954,2,_HADITH
Shamela0008202,0283BaghandiKabir.AmaliBaghandi.Shamela0008202-ara1,أمالي الباغندي,Amali Baghandi,0283BaghandiKabir,أشرف صلاح علي :: مؤسسة قرطبة، مصر,al-Maktaba al-Shāmila,4162,92,2,_HADITH :: _AJZA
ShamIbadiyya0000030,0283CamrusIbnFath.UsulDaynunaSafiya.ShamIbadiyya0000030-ara1,أصول الدينونة الصافية :: أصول الدينونة الصافية لعمروس بن فتح,Usul Daynuna Safiya,0283CamrusIbnFath,,al-Shāmila al-Ibāḍiyya,13981,92,1,_CAQAID
Shamela0026489,0283IbnIbrahimKhuttali.Dibaj.Shamela0026489-ara1,كتاب الديباج,Dibaj,0283IbnIbrahimKhuttali,إبراهيم صالح :: دار البشائر,al-Maktaba al-Shāmila,13405,221,1,_HADITH :: _AJZA
JK007589,0283IbnRumi.Diwan.JK007589-ara1,ديوان ابن الرومي,Diwan,0283IbnRumi,,al-Jāmiʿ al-Kabīr,360276,5056,1,_SHICR
